name,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15
id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
income,492,546,112,604,606,404,557,283,534,602,240,185,122,49,19
expense,200,200,200,206,206,206,213,216,220,220,223,223,223,223,223
num_of_customer,28,35,6,38,29,19,28,16,24,26,9,7,5,3,1
num_of_chef,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chef_salary,3000,3000,3000,3200,3200,3200,3400,3500,3600,3600,3700,3700,3700,3700,3700
dish_score,0.5435054945054945,0.547076923076923,0.548076923076923,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.59,0.5999999999999999,0.6100000000000001,0.6100000000000001,0.62,0.62,0.6193827160493828,0.6193827160493828,0.6194444444444445
customer_score,6.0,5.866666666666666,5.882352941176471,5.741935483870968,5.684210526315789,5.644444444444445,5.622641509433962,5.581818181818182,5.432835820895522,5.328947368421052,5.328947368421052,5.32051282051282,5.304878048780488,5.301204819277109,5.2976190476190474
dishes,"{""Classic American Burger"": 7, ""Cobb Salad"": 7, ""New York Cheesecake"": 18, ""BBQ Ribs"": 5, ""Buffalo Wings"": 2, ""Sweet Potato Fries"": 3, ""Surf and Turf"": 17, ""Mac & Cheese"": 5, ""Apple Pie a la Mode"": 4}","{""Classic American Burger"": 6, ""Mac & Cheese"": 10, ""New York Cheesecake"": 14, ""BBQ Ribs"": 9, ""Cobb Salad"": 13, ""Buffalo Wings"": 2, ""Sweet Potato Fries"": 5, ""Surf and Turf"": 12, ""Apple Pie a la Mode"": 8}","{""Classic American Burger"": 1, ""Mac & Cheese"": 1, ""New York Cheesecake"": 2, ""BBQ Ribs"": 1, ""Buffalo Wings"": 1, ""Sweet Potato Fries"": 1, ""Surf and Turf"": 3, ""Cobb Salad"": 3, ""Apple Pie a la Mode"": 1}","{""Classic American Burger"": 6, ""Mac & Cheese"": 5, ""New York Cheesecake"": 13, ""Lean Green American Machine"": 22, ""BBQ Ribs"": 4, ""American Quinoa Delight"": 16, ""Surf and Turf"": 7, ""Apple Pie a la Mode"": 5, ""Buffalo Wings"": 1, ""Cobb Salad"": 2}","{""Classic American Burger"": 5, ""Mac & Cheese"": 4, ""New York Cheesecake"": 14, ""BBQ Ribs"": 11, ""Buffalo Wings"": 2, ""Surf and Turf"": 7, ""American Quinoa Delight"": 8, ""Lean Green American Machine"": 11, ""Apple Pie a la Mode"": 2, ""Cobb Salad"": 3}","{""Classic American Burger"": 4, ""Mac & Cheese"": 4, ""New York Cheesecake"": 6, ""BBQ Ribs"": 9, ""Buffalo Wings"": 1, ""Surf and Turf"": 4, ""Berry Bliss Cheesecake"": 5, ""Lean Green American Machine"": 5, ""American Quinoa Delight"": 2, ""Apple Pie a la Mode"": 2, ""Cobb Salad"": 2}","{""Classic American Burger"": 4, ""Mac & Cheese Deluxe"": 4, ""Signature New York Cheesecake"": 15, ""Ultimate BBQ Ribs"": 9, ""Surf and Turf"": 4, ""Decadent Dark Chocolate Cake"": 5, ""American Quinoa Delight"": 6, ""Lean Green American Machine"": 9, ""Apple Pie a la Mode"": 3, ""Cobb Salad"": 2}","{""Classic American Burger"": 2, ""Mac & Cheese Deluxe"": 2, ""Signature New York Cheesecake"": 6, ""Ultimate BBQ Ribs"": 4, ""Surf and Turf"": 2, ""American Quinoa Delight"": 5, ""Lean Green American Machine"": 8, ""Apple Pie a la Mode"": 2, ""Cobb Salad"": 1}","{""Classic American Burger"": 4, ""Mac & Cheese Deluxe"": 5, ""Signature New York Cheesecake"": 12, ""Ultimate BBQ Ribs"": 10, ""Surf and Turf"": 4, ""American Quinoa Delight"": 5, ""Decadent Dark Chocolate Cake"": 3, ""Lean Green American Machine"": 6, ""Apple Pie a la Mode"": 2, ""Cobb Salad"": 2}","{""Classic American Burger"": 7, ""Mac & Cheese Deluxe"": 4, ""Signature New York Cheesecake"": 10, ""Ultimate BBQ Ribs"": 10, ""Surf and Turf"": 4, ""American Quinoa Delight"": 8, ""Lean Green American Machine"": 6, ""Decadent Dark Chocolate Cake"": 3, ""Apple Pie a la Mode"": 3, ""Cobb Salad"": 2}","{""Ultimate BBQ Ribs"": 4, ""Signature New York Cheesecake"": 4, ""Surf and Turf"": 2, ""Mac & Cheese Deluxe"": 3, ""Decadent Dark Chocolate Cake"": 1, ""Classic American Burger"": 3, ""Apple Pie a la Mode"": 2, ""Cobb Salad"": 2}","{""Surf and Turf"": 1, ""Ultimate BBQ Ribs"": 2, ""Decadent Dark Chocolate Cake"": 1, ""Classic American Burger"": 4, ""Mac & Cheese Deluxe"": 3, ""Apple Pie a la Mode"": 3, ""Signature New York Cheesecake"": 2, ""Cobb Salad"": 1}","{""Classic American Burger"": 2, ""Mac & Cheese Deluxe"": 2, ""Apple Pie a la Mode"": 2, ""Surf and Turf"": 1, ""Cobb Salad"": 2, ""Ultimate BBQ Ribs"": 1, ""Signature New York Cheesecake"": 1}","{""Apple Pie a la Mode"": 1, ""Classic American Burger"": 1, ""Mac & Cheese Deluxe"": 1, ""Signature New York Cheesecake"": 1, ""Cobb Salad"": 1}","{""Surf and Turf"": 1}"
